y1_statefips,y1_countyfips,y2_statefips,y2_countyfips,y2_state,y2_countyname,n1,n2,agi
01,000,96,000,AL,Total Migration-US and Foreign,115723,242428,4490820
01,000,97,000,AL,Total Migration-US,114692,240130,4441354
01,000,97,001,AL,Total Migration-Same State,63752,135124,2381712
01,000,97,003,AL,Total Migration-Different State,50940,105006,2059642
01,000,98,000,AL,Total Migration-Foreign,1031,2298,49465
01,001,96,000,AL,Autauga County Total Migration-US and Foreign,2125,4776,90616
01,001,97,000,AL,Autauga County Total Migration-US,2082,4658,87831
01,001,97,001,AL,Autauga County Total Migration-Same State,1379,2911,49268
01,001,97,003,AL,Autauga County Total Migration-Different State,703,1747,38564
01,001,98,000,AL,Autauga County Total Migration-Foreign,43,118,2785
01,001,01,001,AL,Autauga County Non-migrants,17696,41757,971428
01,001,01,051,AL,Elmore County,445,1012,17682
01,001,01,101,AL,Montgomery County,377,739,12591
01,001,01,021,AL,Chilton County,78,223,2367
01,001,01,073,AL,Jefferson County,73,110,1773
01,001,01,047,AL,Dallas County,45,107,1317
01,001,57,005,FR,Foreign - APO/FPO ZIPs,43,118,2785
01,001,01,081,AL,Lee County,38,72,1397
01,001,01,097,AL,Mobile County,36,55,1072
01,001,01,117,AL,Shelby County,31,68,1789
01,001,01,003,AL,Baldwin County,30,61,1428
01,001,01,089,AL,Madison County,26,48,1101
01,001,13,215,GA,Muscogee County,22,25,537
01,001,01,125,AL,Tuscaloosa County,20,38,767
01,001,01,123,AL,Tallapoosa County,17,42,795
01,001,48,029,TX,Bexar County,16,36,677
01,001,12,091,FL,Okaloosa County,15,48,1039
01,001,51,059,VA,Fairfax County,15,59,1491
01,001,08,041,CO,El Paso County,14,46,938
01,001,01,069,AL,Houston County,12,19,477
01,001,13,121,GA,Fulton County,12,15,299
01,001,01,113,AL,Russell County,11,16,237
01,001,12,005,FL,Bay County,11,25,411
01,001,17,163,IL,St. Clair County,11,47,915
01,001,01,085,AL,Lowndes County,10,27,336
01,001,01,109,AL,Pike County,10,15,279
01,001,13,063,GA,Clayton County,10,13,77
01,001,47,157,TN,Shelby County,10,24,1192
01,001,58,000,SS,Other flows - Same State,120,259,3860
01,001,59,000,DS,Other flows - Different State,567,1409,30986
01,001,59,001,DS,Other flows - Northeast,27,64,1453
01,001,59,003,DS,Other flows - Midwest,70,173,3976
01,001,59,005,DS,Other flows - South,378,935,21003
01,001,59,007,DS,Other flows - West,92,237,4555
01,001,57,009,FR,Foreign - Other flows,-1,-1,-1
01,003,96,000,AL,Baldwin County Total Migration-US and Foreign,4327,8728,185919
01,003,97,000,AL,Baldwin County Total Migration-US,4300,8667,184251
01,003,97,001,AL,Baldwin County Total Migration-Same State,1571,3152,61985
01,003,97,003,AL,Baldwin County Total Migration-Different State,2729,5515,122266
01,003,98,000,AL,Baldwin County Total Migration-Foreign,27,61,1667
