y1_statefips,y1_countyfips,y2_statefips,y2_countyfips,y2_state,y2_countyname,n1,n2,agi
01,000,96,000,AL,Total Migration-US and Foreign,100784,205077,4994641
01,000,97,000,AL,Total Migration-US,99961,203290,4947658
01,000,97,001,AL,Total Migration-Same State,56323,115151,2486684
01,000,97,003,AL,Total Migration-Different State,43638,88139,2460974
01,000,98,000,AL,Total Migration-Foreign,823,1787,46982
01,001,96,000,AL,Autauga County Total Migration-US and Foreign,1677,3928,88748
01,001,97,000,AL,Autauga County Total Migration-US,1652,3855,86815
01,001,97,001,AL,Autauga County Total Migration-Same State,1081,2293,50574
01,001,97,003,AL,Autauga County Total Migration-Different State,571,1562,36241
01,001,98,000,AL,Autauga County Total Migration-Foreign,25,73,1933
01,001,01,001,AL,Autauga County Non-migrants,17914,41255,1098515
01,001,01,051,AL,Elmore County,439,924,18648
01,001,01,101,AL,Montgomery County,268,596,13630
01,001,01,021,AL,Chilton County,54,124,2210
01,001,01,073,AL,Jefferson County,38,65,1411
01,001,01,047,AL,Dallas County,30,62,982
01,001,01,117,AL,Shelby County,30,56,1541
01,001,01,081,AL,Lee County,26,50,1413
01,001,57,005,FR,Foreign - APO/FPO ZIPs,25,73,1933
01,001,51,059,VA,Fairfax County,21,88,2214
01,001,58,000,SS,Other flows - Same State,196,416,10739
01,001,59,000,DS,Other flows - Different State,550,1474,34027
01,001,59,001,DS,Other flows - Northeast,32,90,1641
01,001,59,003,DS,Other flows - Midwest,74,210,4242
01,001,59,005,DS,Other flows - South,354,913,21860
01,001,59,007,DS,Other flows - West,90,261,6284
01,001,57,009,FR,Foreign - Other flows,-1,-1,-1
01,003,96,000,AL,Baldwin County Total Migration-US and Foreign,4186,8023,220426
01,003,97,000,AL,Baldwin County Total Migration-US,4166,7993,219461
01,003,97,001,AL,Baldwin County Total Migration-Same State,1482,2842,78904
01,003,97,003,AL,Baldwin County Total Migration-Different State,2684,5151,140557
01,003,98,000,AL,Baldwin County Total Migration-Foreign,20,30,965
01,003,01,003,AL,Baldwin County Non-migrants,69838,151110,4747394
01,003,01,097,AL,Mobile County,738,1384,35173
01,003,12,033,FL,Escambia County,363,653,16198
01,003,01,073,AL,Jefferson County,119,212,6642
01,003,01,053,AL,Escambia County,72,155,2861
01,003,12,113,FL,Santa Rosa County,67,152,4643
01,003,01,117,AL,Shelby County,55,113,2986
01,003,01,125,AL,Tuscaloosa County,48,75,2338
01,003,12,091,FL,Okaloosa County,45,70,1714
01,003,01,081,AL,Lee County,43,84,2381
01,003,01,089,AL,Madison County,40,81,2590
01,003,28,047,MS,Harrison County,32,56,1005
01,003,48,201,TX,Harris County,31,68,1966
01,003,28,059,MS,Jackson County,30,48,1101
01,003,22,103,LA,St. Tammany Parish,29,57,3284
01,003,01,101,AL,Montgomery County,26,50,1208
01,003,01,099,AL,Monroe County,23,48,832
01,003,12,031,FL,Duval County,22,42,1123
01,003,12,131,FL,Walton County,21,39,1152
01,003,01,069,AL,Houston County,20,42,1230
01,003,57,001,FR,Foreign - Overseas,20,30,965
01,003,58,000,SS,Other flows - Same State,298,598,20664
01,003,59,000,DS,Other flows - Different State,2044,3966,108370
01,003,59,001,DS,Other flows - Northeast,121,241,6622
01,003,59,003,DS,Other flows - Midwest,334,615,15814
01,003,59,005,DS,Other flows - South,1308,2611,73084
01,003,59,007,DS,Other flows - West,281,499,12850
01,003,57,009,FR,Foreign - Other flows,-1,-1,-1
01,005,96,000,AL,Barbour County Total Migration-US and Foreign,519,1129,23726
01,005,97,000,AL,Barbour County Total Migration-US,519,1129,23726
01,005,97,001,AL,Barbour County Total Migration-Same State,308,677,14205
01,005,97,003,AL,Barbour County Total Migration-Different State,211,452,9522
01,005,98,000,AL,Barbour County Total Migration-Foreign,-1,-1,-1
01,005,01,005,AL,Barbour County Non-migrants,7505,16675,322509
01,005,01,069,AL,Houston County,60,139,2204
01,005,01,067,AL,Henry County,57,127,1449
01,005,01,045,AL,Dale County,41,86,980
01,005,13,239,GA,Quitman County,34,82,806
01,005,01,101,AL,Montgomery County,25,52,1017
01,005,58,000,SS,Other flows - Same State,125,275,5792
01,005,59,000,DS,Other flows - Different State,177,370,8715
01,005,59,001,DS,Other flows - Northeast,-1,-1,-1
01,005,59,003,DS,Other flows - Midwest,-1,-1,-1
01,005,59,005,DS,Other flows - South,177,370,8715
01,005,59,007,DS,Other flows - West,-1,-1,-1
01,005,57,009,FR,Foreign - Other flows,-1,-1,-1
01,007,96,000,AL,Bibb County Total Migration-US and Foreign,395,848,14464
01,007,97,000,AL,Bibb County Total Migration-US,395,848,14464
01,007,97,001,AL,Bibb County Total Migration-Same State,353,753,13196
01,007,97,003,AL,Bibb County Total Migration-Different State,42,95,1268
01,007,98,000,AL,Bibb County Total Migration-Foreign,-1,-1,-1
01,007,01,007,AL,Bibb County Non-migrants,6227,14522,330041
01,007,01,125,AL,Tuscaloosa County,123,277,5127
01,007,01,073,AL,Jefferson County,78,144,2947
01,007,01,117,AL,Shelby County,58,131,1869
01,007,01,021,AL,Chilton County,25,63,913
01,007,58,000,SS,Other flows - Same State,69,138,2340
01,007,59,000,DS,Other flows - Different State,42,95,1268
01,007,59,001,DS,Other flows - Northeast,-1,-1,-1
01,007,59,003,DS,Other flows - Midwest,-1,-1,-1
01,007,59,005,DS,Other flows - South,42,95,1268
01,007,59,007,DS,Other flows - West,-1,-1,-1
01,007,57,009,FR,Foreign - Other flows,-1,-1,-1
01,009,96,000,AL,Blount County Total Migration-US and Foreign,1064,2257,42357
01,009,97,000,AL,Blount County Total Migration-US,1064,2257,42357
01,009,97,001,AL,Blount County Total Migration-Same State,890,1895,34495
01,009,97,003,AL,Blount County Total Migration-Different State,174,362,7862
01,009,98,000,AL,Blount County Total Migration-Foreign,-1,-1,-1
01,009,01,009,AL,Blount County Non-migrants,17196,41386,937975
01,009,01,073,AL,Jefferson County,349,728,13602
01,009,01,043,AL,Cullman County,111,249,4158
01,009,01,095,AL,Marshall County,92,206,3493
01,009,01,115,AL,St. Clair County,75,177,3701
01,009,01,055,AL,Etowah County,59,140,1807
01,009,01,117,AL,Shelby County,41,72,2098
01,009,58,000,SS,Other flows - Same State,163,323,5636
01,009,59,000,DS,Other flows - Different State,174,362,7862
01,009,59,001,DS,Other flows - Northeast,-1,-1,-1
01,009,59,003,DS,Other flows - Midwest,-1,-1,-1
01,009,59,005,DS,Other flows - South,149,314,7264
01,009,59,007,DS,Other flows - West,25,48,598
01,009,57,009,FR,Foreign - Other flows,-1,-1,-1
01,011,96,000,AL,Bullock County Total Migration-US and Foreign,183,370,4938
01,011,97,000,AL,Bullock County Total Migration-US,183,370,4938
01,011,97,001,AL,Bullock County Total Migration-Same State,143,285,3972
01,011,97,003,AL,Bullock County Total Migration-Different State,40,85,966
01,011,01,011,AL,Bullock County Non-migrants,3024,6460,106495
01,011,01,101,AL,Montgomery County,56,118,1608
01,011,58,000,SS,Other flows - Same State,87,167,2364
01,011,59,000,DS,Other flows - Different State,40,85,966
01,011,59,001,DS,Other flows - Northeast,-1,-1,-1
01,011,59,003,DS,Other flows - Midwest,-1,-1,-1
01,011,59,005,DS,Other flows - South,40,85,966
01,011,59,007,DS,Other flows - West,-1,-1,-1
01,013,96,000,AL,Butler County Total Migration-US and Foreign,345,749,13415
01,013,97,000,AL,Butler County Total Migration-US,345,749,13415
01,013,97,001,AL,Butler County Total Migration-Same State,277,614,10880
01,013,97,003,AL,Butler County Total Migration-Different State,68,135,2536
01,013,98,000,AL,Butler County Total Migration-Foreign,-1,-1,-1
01,013,01,013,AL,Butler County Non-migrants,6505,14320,291029
01,013,01,101,AL,Montgomery County,57,132,3170
01,013,01,041,AL,Crenshaw County,28,73,745
01,013,58,000,SS,Other flows - Same State,192,409,6965
01,013,59,000,DS,Other flows - Different State,68,135,2536
01,013,59,001,DS,Other flows - Northeast,-1,-1,-1
01,013,59,003,DS,Other flows - Midwest,-1,-1,-1
01,013,59,005,DS,Other flows - South,68,135,2536
01,013,59,007,DS,Other flows - West,-1,-1,-1
01,013,57,009,FR,Foreign - Other flows,-1,-1,-1
01,015,96,000,AL,Calhoun County Total Migration-US and Foreign,2249,4587,93687
01,015,97,000,AL,Calhoun County Total Migration-US,2249,4587,93687
01,015,97,001,AL,Calhoun County Total Migration-Same State,1332,2757,52665
01,015,97,003,AL,Calhoun County Total Migration-Different State,917,1830,41022
01,015,98,000,AL,Calhoun County Total Migration-Foreign,-1,-1,-1
01,015,01,015,AL,Calhoun County Non-migrants,37782,82599,1913133
01,015,01,121,AL,Talladega County,360,791,14467
01,015,01,055,AL,Etowah County,173,342,6126
01,015,01,073,AL,Jefferson County,142,245,5306
01,015,01,115,AL,St. Clair County,89,169,4233
01,015,01,029,AL,Cleburne County,81,192,3298
01,015,01,019,AL,Cherokee County,60,158,1895
01,015,01,089,AL,Madison County,55,112,2304
01,015,01,027,AL,Clay County,36,71,1185
01,015,01,117,AL,Shelby County,36,61,1930
01,015,01,003,AL,Baldwin County,32,71,2013
01,015,01,081,AL,Lee County,29,63,1826
01,015,01,111,AL,Randolph County,29,63,915
01,015,13,067,GA,Cobb County,28,56,1061
01,015,13,121,GA,Fulton County,27,52,807
01,015,01,095,AL,Marshall County,22,50,769
01,015,13,089,GA,DeKalb County,22,41,1162
01,015,01,125,AL,Tuscaloosa County,21,42,712
01,015,13,045,GA,Carroll County,21,40,677
01,015,58,000,SS,Other flows - Same State,167,327,5687
01,015,59,000,DS,Other flows - Different State,819,1643,34310
01,015,59,001,DS,Other flows - Northeast,42,96,1660
01,015,59,003,DS,Other flows - Midwest,78,148,2678
01,015,59,005,DS,Other flows - South,612,1224,26181
01,015,59,007,DS,Other flows - West,87,175,3792
01,015,57,009,FR,Foreign - Other flows,-1,-1,-1
01,017,96,000,AL,Chambers County Total Migration-US and Foreign,820,1655,27443
01,017,97,000,AL,Chambers County Total Migration-US,820,1655,27443
01,017,97,001,AL,Chambers County Total Migration-Same State,437,882,14616
01,017,97,003,AL,Chambers County Total Migration-Different State,383,773,12827
01,017,01,017,AL,Chambers County Non-migrants,11105,24109,442906
01,017,01,081,AL,Lee County,271,557,9603
01,017,13,285,GA,Troup County,144,320,4391
01,017,01,111,AL,Randolph County,38,86,990
01,017,01,123,AL,Tallapoosa County,23,49,866
01,017,13,145,GA,Harris County,23,43,1417
01,017,58,000,SS,Other flows - Same State,105,190,3156
01,017,59,000,DS,Other flows - Different State,216,410,7019
01,017,59,001,DS,Other flows - Northeast,-1,-1,-1
01,017,59,003,DS,Other flows - Midwest,-1,-1,-1
01,017,59,005,DS,Other flows - South,216,410,7019
01,017,59,007,DS,Other flows - West,-1,-1,-1
01,019,96,000,AL,Cherokee County Total Migration-US and Foreign,403,824,16482
01,019,97,000,AL,Cherokee County Total Migration-US,403,824,16482
01,019,97,001,AL,Cherokee County Total Migration-Same State,226,472,8313
01,019,97,003,AL,Cherokee County Total Migration-Different State,177,352,8169
01,019,98,000,AL,Cherokee County Total Migration-Foreign,-1,-1,-1
01,019,01,019,AL,Cherokee County Non-migrants,7255,16404,351526
01,019,01,015,AL,Calhoun County,59,120,2047
01,019,01,055,AL,Etowah County,59,127,1850
01,019,01,049,AL,DeKalb County,52,121,1661
01,019,13,115,GA,Floyd County,44,88,1883
01,019,13,055,GA,Chattooga County,20,43,803
